hole_id,elevation,qc,fs,u2
CPT-01,46.48,17.2813,108.22,20.49
CPT-01,46.46,15.2937,162.72,18.88
CPT-01,46.44,12.8687,85.94,20.64
CPT-01,46.42,8.5148,106.26,18.83
CPT-01,46.4,19.3636,117.75,18.65
CPT-01,46.38,5.6202,45.63,21.53
CPT-01,46.36,18.8829,229.43,19.21
CPT-01,46.34,13.9554,166.15,21.73
CPT-01,46.32,20.5198,277.08,21.82
CPT-01,46.3,19.112,118.7,23.67
CPT-01,46.28,15.7522,146.24,21.21
CPT-01,46.26,11.3831,114.51,21.28
CPT-01,46.24,19.3546,117.2,24.21
CPT-01,46.22,8.9727,101.89,23.84
CPT-01,46.2,13.8663,171.08,24.66
CPT-01,46.18,10.8754,83.75,24.16
CPT-01,46.16,10.5336,98.55,24.02
CPT-01,46.14,13.9077,106.87,24.78
CPT-01,46.12,15.8274,218.68,22.15
CPT-01,46.1,13.5113,130.34,24.06
CPT-01,46.08,14.3005,193.19,22.23
CPT-01,46.06,15.6653,111.56,25.36
CPT-01,46.04,10.5688,126.95,23.05
CPT-01,46.02,21.9497,111.98,26.51
CPT-01,46.0,20.4816,202.48,25.79
CPT-01,45.98,18.2704,217.53,25.44
CPT-01,45.96,7.9132,46.93,23.53
CPT-01,45.94,15.4092,183.64,24.14
CPT-01,45.92,11.0526,113.94,24.93
CPT-01,45.9,12.7794,159.22,24.64
CPT-01,45.88,14.0718,105.74,23.75
CPT-01,45.86,11.9587,82.82,23.93
CPT-01,45.84,8.3919,57.5,24.61
CPT-01,45.82,13.4852,132.72,27.47
CPT-01,45.8,19.8257,155.23,24.37
CPT-01,45.78,14.2856,99.16,25.23
CPT-01,45.76,15.2897,158.12,25.67
CPT-01,45.74,15.61,230.14,27.36
CPT-01,45.72,14.3257,196.04,27.22
CPT-01,45.7,13.034,178.92,27.87
CPT-01,45.68,10.7689,73.7,25.18
CPT-01,45.66,15.8238,228.03,27.74
CPT-01,45.64,16.772,96.28,28.78
CPT-01,45.62,11.3607,62.89,26.27
CPT-01,45.6,11.8576,177.14,26.28
CPT-01,45.58,13.6905,173.11,29.25
CPT-01,45.56,15.7244,160.79,28.56
CPT-01,45.54,12.2323,115.32,31.13
CPT-01,45.52,18.4081,206.36,29.87
CPT-01,45.5,14.7863,183.36,32.06
CPT-01,45.48,15.7219,182.44,27.59
CPT-01,45.46,17.6577,118.98,27.29
CPT-01,45.44,19.3766,211.94,28.77
CPT-01,45.42,15.0736,110.26,31.47
CPT-01,45.4,13.7189,162.9,32.99
CPT-01,45.38,10.7899,138.96,31.37
CPT-01,45.36,10.066,93.12,31.08
CPT-01,45.34,7.0959,81.44,33.53
CPT-01,45.32,15.7131,104.64,30.0
CPT-01,45.3,13.6353,170.3,31.83
CPT-01,45.28,14.5048,172.42,32.85
CPT-01,45.26,17.001,245.27,31.79
CPT-01,45.24,13.3631,72.14,31.55
CPT-01,45.22,15.0638,123.87,30.57
CPT-01,45.2,23.5881,315.13,32.86
CPT-01,45.18,20.5511,298.15,35.82
CPT-01,45.16,13.5128,73.0,34.44
CPT-01,45.14,12.2004,118.41,33.96
CPT-01,45.12,17.1876,186.54,34.05
CPT-01,45.1,13.7261,136.12,30.63
CPT-01,45.08,12.9204,151.19,35.95
CPT-01,45.06,17.9409,148.87,35.05
CPT-01,45.04,12.7074,166.92,34.28
CPT-01,45.02,24.3632,232.63,32.87
CPT-01,45.0,10.2894,93.03,34.44
CPT-01,44.98,24.4983,364.56,35.62
CPT-01,44.96,11.0166,75.75,33.77
CPT-01,44.94,13.9077,174.74,35.8
CPT-01,44.92,15.1693,159.16,38.12
CPT-01,44.9,12.3066,115.45,36.72
CPT-01,44.88,22.7767,252.56,33.66
CPT-01,44.86,22.435,147.71,36.07
CPT-01,44.84,13.325,198.84,38.87
CPT-01,44.82,14.4295,138.73,33.34
CPT-01,44.8,17.3188,210.7,36.36
CPT-01,44.78,10.9134,84.41,38.94
CPT-01,44.76,17.9669,188.88,35.84
CPT-01,44.74,14.6298,208.02,36.95
CPT-01,44.72,20.8017,161.47,39.23
CPT-01,44.7,9.5055,86.97,40.52
CPT-01,44.68,7.5945,59.45,35.96
CPT-01,44.66,14.6397,159.12,41.43
CPT-01,44.64,12.7359,132.27,36.69
CPT-01,44.62,15.1476,159.34,38.39
CPT-01,44.6,11.6129,79.97,39.77
CPT-01,44.58,15.9761,171.23,36.41
CPT-01,44.56,15.191,189.08,40.24
CPT-01,44.54,13.8203,181.24,37.96
CPT-01,44.52,11.1722,165.44,39.01
CPT-01,44.5,8.6475,46.44,39.26
CPT-01,44.48,8.1866,112.5,38.97
CPT-01,44.46,10.6652,109.42,39.29
CPT-01,44.44,14.2921,165.04,37.08
CPT-01,44.42,10.9525,106.18,43.78
CPT-01,44.4,11.7545,135.16,43.05
CPT-01,44.38,20.2178,273.41,43.32
CPT-01,44.36,12.4553,151.79,42.72
CPT-01,44.34,17.3893,238.65,37.02
CPT-01,44.32,20.1354,286.11,45.09
CPT-01,44.3,17.3546,216.37,40.66
CPT-01,44.28,19.619,269.29,40.93
CPT-01,44.26,18.2874,218.35,44.95
CPT-01,44.24,21.838,173.26,40.74
CPT-01,44.22,17.0329,109.96,42.25
CPT-01,44.2,8.5059,56.99,38.63
CPT-01,44.18,12.1447,166.48,43.39
CPT-01,44.16,15.5088,99.74,42.24
CPT-01,44.14,23.8214,179.61,40.68
CPT-01,44.12,22.216,311.29,44.49
CPT-01,44.1,15.4266,101.5,42.66
CPT-01,44.08,11.992,136.58,42.7
CPT-01,44.06,19.3925,145.46,46.56
CPT-01,44.04,16.2366,159.64,41.45
CPT-01,44.02,18.7431,200.91,44.61
CPT-01,44.0,18.3426,271.09,45.54
CPT-01,43.98,14.8464,114.98,44.93
CPT-01,43.96,12.4055,68.11,45.49
CPT-01,43.94,8.9209,88.92,48.35
CPT-01,43.92,13.3849,148.18,43.6
CPT-01,43.9,21.9794,249.82,46.22
CPT-01,43.88,12.198,141.4,48.39
CPT-01,43.86,9.2563,104.43,49.19
CPT-01,43.84,12.9154,121.51,46.44
CPT-01,43.82,12.2652,151.15,42.15
CPT-01,43.8,13.1441,88.81,42.71
CPT-01,43.78,21.3715,222.14,50.67
CPT-01,43.76,6.316,84.03,44.24
CPT-01,43.74,13.2952,176.12,46.53
CPT-01,43.72,17.3032,145.12,43.28
CPT-01,43.7,8.7856,128.52,43.7
CPT-01,43.68,22.7589,278.62,51.82
CPT-01,43.66,13.3423,195.77,50.37
CPT-01,43.64,10.2959,52.91,48.03
CPT-01,43.62,20.2836,193.67,49.53
CPT-01,43.6,12.5144,165.49,52.3
CPT-01,43.58,10.3169,62.76,45.7
CPT-01,43.56,23.204,246.29,52.49
CPT-01,43.54,16.3007,117.59,44.41
CPT-01,43.52,18.9233,151.8,47.96
CPT-01,43.5,7.1613,45.82,53.43
CPT-01,43.48,13.4391,80.26,53.06
CPT-01,43.46,19.3904,123.26,48.98
CPT-01,43.44,11.8405,171.21,48.84
CPT-01,43.42,9.211,114.43,46.39
CPT-01,43.4,13.4284,132.85,49.11
CPT-01,43.38,15.931,231.24,45.53
CPT-01,43.36,12.0255,174.44,54.01
CPT-01,43.34,18.1465,108.76,52.5
CPT-01,43.32,4.387,37.67,49.78
CPT-01,43.3,11.9552,82.47,47.16
CPT-01,43.28,17.5451,204.01,52.66
CPT-01,43.26,11.4043,125.12,46.48
CPT-01,43.24,15.6848,98.18,52.27
CPT-01,43.22,12.0908,68.75,54.54
CPT-01,43.2,15.742,215.62,50.21
CPT-01,43.18,17.6897,114.55,56.37
CPT-01,43.16,22.9078,147.68,48.51
CPT-01,43.14,15.1409,113.66,49.16
CPT-01,43.12,14.5153,74.73,55.84
CPT-01,43.1,14.2249,104.97,51.11
CPT-01,43.08,15.6013,193.72,53.45
CPT-01,43.06,16.1665,201.38,53.11
CPT-01,43.04,15.8406,96.48,53.6
CPT-01,43.02,10.2742,148.51,48.85
CPT-01,43.0,16.6652,170.23,53.5
CPT-01,42.98,7.14,104.53,49.39
CPT-01,42.96,10.9816,130.25,54.24
CPT-01,42.94,15.5338,218.98,49.89
CPT-01,42.92,19.7859,111.93,52.28
CPT-01,42.9,17.6621,200.13,55.47
CPT-01,42.88,9.1154,93.94,54.62
CPT-01,42.86,26.516,293.12,50.89
CPT-01,42.84,12.6638,145.75,58.51
CPT-01,42.82,7.5266,91.89,52.54
CPT-01,42.8,12.2513,102.78,55.4
CPT-01,42.78,15.8635,145.31,51.57
CPT-01,42.76,9.6988,84.8,52.4
CPT-01,42.74,17.6275,250.84,51.61
CPT-01,42.72,15.8698,94.67,59.41
CPT-01,42.7,13.4588,176.55,57.54
CPT-01,42.68,10.6028,87.97,52.78
CPT-01,42.66,12.3446,105.37,59.18
CPT-01,42.64,15.0144,183.33,62.87
CPT-01,42.62,6.9489,76.47,55.97
CPT-01,42.6,12.5584,145.27,54.69
CPT-01,42.58,13.699,83.32,62.09
CPT-01,42.56,10.4326,112.06,61.85
CPT-01,42.54,20.0156,269.24,64.02
CPT-01,42.52,17.2991,197.68,53.11
CPT-01,42.5,9.986,142.71,62.74
CPT-01,42.48,14.7239,177.08,56.8
CPT-01,42.46,17.5081,147.04,53.4
CPT-01,42.44,18.5362,166.97,55.19
CPT-01,42.42,11.2278,127.23,54.05
CPT-01,42.4,14.932,137.35,57.94
CPT-01,42.38,12.2166,106.29,62.7
CPT-01,42.36,15.8692,92.83,54.84
CPT-01,42.34,9.8938,65.04,61.85
CPT-01,42.32,13.5343,157.26,60.45
CPT-01,42.3,12.1689,114.64,58.06
CPT-01,42.28,15.0611,140.05,58.37
CPT-01,42.26,13.0346,153.61,61.05
CPT-01,42.24,14.3933,128.86,62.63
CPT-01,42.22,13.942,70.78,59.16
CPT-01,42.2,15.5242,117.29,59.68
CPT-01,42.18,17.1092,86.87,65.06
CPT-01,42.16,16.761,201.75,62.2
CPT-01,42.14,18.4938,246.59,66.21
CPT-01,42.12,22.1553,120.15,56.56
CPT-01,42.1,18.4817,262.66,67.33
CPT-01,42.08,10.3592,125.29,61.94
CPT-01,42.06,12.6075,77.56,57.12
CPT-01,42.04,11.7446,131.32,67.58
CPT-01,42.02,21.4122,304.0,58.33
CPT-01,42.0,16.6709,181.52,64.07
CPT-01,41.98,12.5241,112.19,61.53
CPT-01,41.96,13.0802,87.39,64.29
CPT-01,41.94,18.0457,110.81,64.48
CPT-01,41.92,18.0794,221.9,68.67
CPT-01,41.9,12.9332,170.08,61.33
CPT-01,41.88,16.6062,183.07,68.32
CPT-01,41.86,17.1099,197.71,60.93
CPT-01,41.84,15.6681,196.55,68.73
CPT-01,41.82,10.3783,98.48,71.09
CPT-01,41.8,9.7787,109.96,70.52
CPT-01,41.78,12.7603,143.84,61.32
CPT-01,41.76,18.9303,151.98,63.14
CPT-01,41.74,16.798,93.43,66.41
CPT-01,41.72,13.3747,74.48,70.92
CPT-01,41.7,19.0744,110.01,71.57
CPT-01,41.68,18.3954,185.25,66.41
CPT-01,41.66,10.6393,112.17,71.02
CPT-01,41.64,18.4693,241.91,69.34
CPT-01,41.62,12.3394,101.37,67.16
CPT-01,41.6,15.834,95.56,73.09
CPT-01,41.58,16.1611,136.31,70.79
CPT-01,41.56,12.539,93.76,67.23
CPT-01,41.54,14.9296,140.25,68.59
CPT-01,41.52,17.0961,133.84,67.22
CPT-01,41.5,18.2461,152.97,70.01
CPT-01,41.48,16.409,92.86,63.28
CPT-01,41.46,9.3997,110.76,66.08
CPT-01,41.44,14.0392,197.44,74.43
CPT-01,41.42,9.2314,76.93,70.6
CPT-01,41.4,17.3401,254.5,72.42
CPT-01,41.38,17.881,159.49,71.17
CPT-01,41.36,18.1851,159.43,74.13
CPT-01,41.34,13.6924,179.81,72.63
CPT-01,41.32,18.1198,214.79,70.81
CPT-01,41.3,9.2361,105.85,69.55
CPT-01,41.28,12.5468,85.35,66.78
CPT-01,41.26,17.8971,259.09,70.83
CPT-01,41.24,15.3196,88.42,76.13
CPT-01,41.22,17.1526,103.11,75.29
CPT-01,41.2,19.2291,103.4,69.28
CPT-01,41.18,7.8613,99.55,66.51
CPT-01,41.16,13.2989,177.05,75.91
CPT-01,41.14,16.6647,218.15,67.37
CPT-01,41.12,11.1968,131.71,68.6
CPT-01,41.1,16.5705,156.46,69.47
CPT-01,41.08,14.9598,154.69,70.02
CPT-01,41.06,10.6334,139.15,72.53
CPT-01,41.04,16.9524,245.32,80.27
CPT-01,41.02,11.704,112.55,70.18
CPT-01,41.0,11.3905,167.01,78.24
CPT-01,40.98,18.3105,238.27,68.44
CPT-01,40.96,14.9999,206.12,74.77
CPT-01,40.94,20.7269,124.9,79.29
CPT-01,40.92,16.9455,214.04,70.98
CPT-01,40.9,12.3631,173.74,69.3
CPT-01,40.88,6.0602,43.76,74.02
CPT-01,40.86,18.7048,158.91,67.85
CPT-01,40.84,19.4613,143.19,82.58
CPT-01,40.82,16.5512,144.81,68.23
CPT-01,40.8,21.9361,252.26,79.94
CPT-01,40.78,11.78,75.11,72.51
CPT-01,40.76,17.966,114.77,79.05
CPT-01,40.74,9.5858,90.93,68.59
CPT-01,40.72,17.7024,236.32,77.07
CPT-01,40.7,16.4686,202.11,76.94
CPT-01,40.68,17.5251,140.4,69.78
CPT-01,40.66,17.1209,157.48,81.43
CPT-01,40.64,13.1309,184.51,78.6
CPT-01,40.62,15.5162,80.13,77.54
CPT-01,40.6,15.1128,140.43,79.28
CPT-01,40.58,17.2242,127.56,76.4
CPT-01,40.56,14.1328,208.41,71.16
CPT-01,40.54,13.5467,139.0,78.2
CPT-01,40.52,20.0705,178.72,77.82
CPT-01,40.5,14.6276,166.12,86.03
CPT-01,40.48,14.9834,193.06,76.23
CPT-01,40.46,15.7237,193.86,80.9
CPT-01,40.44,15.8782,132.19,71.86
CPT-01,40.42,8.5387,89.32,84.23
CPT-01,40.4,18.1526,175.1,82.57
CPT-01,40.38,21.1959,239.88,84.62
CPT-01,40.36,21.3843,204.79,76.55
CPT-01,40.34,17.6727,96.11,75.24
CPT-01,40.32,23.9891,243.58,88.1
CPT-01,40.3,17.4231,181.73,76.47
CPT-01,40.28,15.0539,129.01,85.17
CPT-01,40.26,12.3954,169.3,78.12
CPT-01,40.24,17.7186,246.2,84.97
CPT-01,40.22,17.7007,246.86,79.39
CPT-01,40.2,19.6202,195.72,88.33
CPT-01,40.18,14.2302,145.05,86.54
CPT-01,40.16,14.7672,162.8,87.09
CPT-01,40.14,13.3948,140.04,79.08
CPT-01,40.12,20.154,162.54,83.9
CPT-01,40.1,17.8363,165.19,85.53
CPT-01,40.08,14.2991,195.9,80.16
CPT-01,40.06,15.9453,238.88,79.06
CPT-01,40.04,24.6472,141.73,85.28
CPT-01,40.02,13.783,118.99,88.2
CPT-01,40.0,10.7584,69.15,85.18
CPT-01,39.98,6.072,77.8,75.8
CPT-01,39.96,21.3347,184.83,81.81
CPT-01,39.94,17.8475,190.48,85.74
CPT-01,39.92,10.7955,94.14,88.6
CPT-01,39.9,6.1999,66.58,84.86
CPT-01,39.88,10.3561,77.63,78.02
CPT-01,39.86,18.4624,228.14,84.74
CPT-01,39.84,11.1042,84.59,80.88
CPT-01,39.82,18.3491,173.63,93.6
CPT-01,39.8,13.0241,129.1,78.91
CPT-01,39.78,23.6914,320.5,84.72
CPT-01,39.76,18.491,108.69,88.86
CPT-01,39.74,12.4191,167.1,82.83
CPT-01,39.72,14.1577,147.55,92.87
CPT-01,39.7,16.1996,218.92,89.99
CPT-01,39.68,20.1159,260.24,86.68
CPT-01,39.66,12.4867,77.59,81.53
CPT-01,39.64,19.5455,102.86,87.86
CPT-01,39.62,20.4163,177.4,92.4
CPT-01,39.6,9.7835,57.35,83.98
CPT-01,39.58,13.2452,198.62,91.34
CPT-01,39.56,8.2397,109.04,80.22
CPT-01,39.54,13.899,204.65,90.4
CPT-01,39.52,9.2566,78.17,94.75
CPT-01,39.5,16.8672,215.94,90.76
CPT-01,39.48,19.3176,180.16,95.75
CPT-01,39.46,24.477,135.95,82.02
CPT-01,39.44,16.3733,134.7,92.6
CPT-01,39.42,16.9675,143.55,96.93
CPT-01,39.4,21.1107,158.46,91.68
CPT-01,39.38,10.2555,107.77,82.76
CPT-01,39.36,13.3905,134.25,83.72
CPT-01,39.34,19.6699,283.56,83.64
CPT-01,39.32,11.5343,127.47,96.23
CPT-01,39.3,9.6338,102.47,96.12
CPT-01,39.28,16.2009,184.93,91.84
CPT-01,39.26,15.2164,175.16,95.48
CPT-01,39.24,10.0565,100.37,93.15
CPT-01,39.22,17.8574,141.02,99.35
CPT-01,39.2,7.8123,92.57,87.54
CPT-01,39.18,15.7732,90.38,83.38
CPT-01,39.16,10.7244,75.5,93.58
CPT-01,39.14,16.7051,135.74,95.83
CPT-01,39.12,14.2127,209.69,85.22
CPT-01,39.1,7.096,61.77,93.35
CPT-01,39.08,13.1135,100.64,87.75
CPT-01,39.06,19.0675,113.8,88.72
CPT-01,39.04,10.8718,81.35,99.58
CPT-01,39.02,18.6789,123.22,89.79
CPT-01,39.0,11.9404,150.82,93.16
CPT-01,38.98,13.3754,135.72,93.37
CPT-01,38.96,14.6885,212.28,93.69
CPT-01,38.94,15.8083,231.86,88.44
CPT-01,38.92,14.224,141.51,101.17
CPT-01,38.9,16.0283,185.01,93.62
CPT-01,38.88,7.452,69.37,101.59
CPT-01,38.86,13.2284,162.38,99.56
CPT-01,38.84,12.3059,131.71,88.98
CPT-01,38.82,18.0198,189.79,86.86
CPT-01,38.8,8.2009,63.94,104.47
CPT-01,38.78,14.8182,174.91,88.08
CPT-01,38.76,18.9539,245.43,92.47
CPT-01,38.74,14.3759,206.86,100.63
CPT-01,38.72,16.5014,165.03,87.22
CPT-01,38.7,19.5294,124.41,92.93
CPT-01,38.68,10.6396,117.7,96.63
CPT-01,38.66,15.7259,130.21,98.71
CPT-01,38.64,21.3863,265.04,92.84
CPT-01,38.62,25.4218,212.62,103.29
CPT-01,38.6,8.8465,70.75,103.25
CPT-01,38.58,13.7321,119.24,100.7
CPT-01,38.56,20.2534,262.64,101.91
CPT-01,38.54,14.3329,170.28,88.46
CPT-01,38.52,4.6817,60.06,103.31
CPT-01,38.5,16.6615,179.55,102.44
CPT-01,38.48,12.8833,145.46,100.65
CPT-01,38.46,13.7745,184.74,91.55
CPT-01,38.44,14.5728,211.04,90.99
CPT-01,38.42,14.0813,73.07,95.2
CPT-01,38.4,18.5561,168.93,104.53
CPT-01,38.38,19.9883,283.94,106.68
CPT-01,38.36,14.8725,94.9,93.65
CPT-01,38.34,13.5712,111.97,102.9
CPT-01,38.32,11.5733,77.91,108.1
CPT-01,38.3,14.4467,121.69,97.15
CPT-01,38.28,15.8802,181.56,104.13
CPT-01,38.26,8.6702,96.25,94.27
CPT-01,38.24,15.1118,109.54,110.17
CPT-01,38.22,20.1108,160.41,96.59
CPT-01,38.2,16.6576,136.1,97.99
CPT-01,38.18,21.0263,301.45,107.22
CPT-01,38.16,14.7005,172.97,98.99
CPT-01,38.14,17.0172,251.88,108.1
CPT-01,38.12,21.9364,173.4,97.5
CPT-01,38.1,12.9663,157.43,98.89
CPT-01,38.08,12.1204,118.67,96.13
CPT-01,38.06,16.0907,167.11,111.29
CPT-01,38.04,14.2788,159.3,104.39
CPT-01,38.02,12.9494,96.14,106.3
CPT-01,38.0,9.4063,51.97,101.22
CPT-01,37.98,13.895,169.15,94.96
CPT-01,37.96,15.053,158.11,112.27
CPT-01,37.94,14.5957,132.37,112.61
CPT-01,37.92,18.2906,127.93,113.42
CPT-01,37.9,11.8471,97.28,107.02
CPT-01,37.88,16.45,176.7,104.91
CPT-01,37.86,14.0532,171.89,113.49
CPT-01,37.84,17.1218,236.67,97.79
